EVEF-MVD v2 side-evidence ablation summary

dataset | variant | side | per_label_micro_f1 | per_label_macro_f1 | detection_f1 | beta_mean | gamma_mean | final_evidence_mean
------------------------------------------------------------------------------------------------------------------------------------------------------
BJUT | no_side | False | 0.683772 | 0.566022 | 0.793994 | n/a | n/a | n/a
BJUT | side_scale_025 | True | 0.672403 | 0.560402 | 0.792941 | 0.04833642765879631 | 0.04227760583162308 | 0.16522995850317282
BJUT | side_scale_050 | True | 0.676930 | 0.561398 | 0.796999 | 0.0720328450202942 | 0.06184953004121781 | 0.34450967841410407
BJUT | side_scale_100 | True | 0.683174 | 0.566430 | 0.799521 | 0.09440140500664711 | 0.08151839599013329 | 0.7516806774277441
BJUT | side_scale_200 | True | 0.684181 | 0.564050 | 0.797681 | 0.134178327023983 | 0.12419880256056785 | 1.7912862473007067
BJUT | side_mechanism_weighted | True | 0.679162 | 0.563508 | 0.793772 | 0.13521877080202102 | 0.12116742730140687 | 1.516536915405569
DIVE | no_side | False | 0.814461 | 0.712436 | 0.940852 | n/a | n/a | n/a
DIVE | side_scale_025 | True | 0.820029 | 0.726552 | 0.951677 | 0.050196208991110325 | 0.04830534849315882 | 0.13550272788494072
DIVE | side_scale_050 | True | 0.819510 | 0.725308 | 0.947657 | 0.07497780118137598 | 0.07246486097574234 | 0.27973521574136606
DIVE | side_scale_100 | True | 0.818990 | 0.724867 | 0.948020 | 0.09919130802154541 | 0.09694492351263762 | 0.630487480755916
DIVE | side_scale_200 | True | 0.824963 | 0.739891 | 0.950348 | 0.14492085948586464 | 0.14532548375427723 | 1.5486441749882518
DIVE | side_mechanism_weighted | True | 0.815880 | 0.720679 | 0.949590 | 0.14676149748265743 | 0.14566761441528797 | 1.2802785661689793
