Behavior contribution summary

experiment_name: train_bjut_side_mechanism_weighted
split: test
checkpoint_epoch: 29
evaluated_samples: 14839
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.968933 | 0.228007 | 0.803797 | 0.355245 | 158 | 557 | 0.644978 | 0.546702 | 0.202467 | 0.552348 | 0.556958 | 0.550987 | 0.517449
Contract contains unknown address | 0.949121 | 0.809859 | 0.787256 | 0.798398 | 1899 | 1846 | 0.713963 | 0.341716 | 0.451129 | 1.460627 | 1.423592 | 1.618370 | 1.537228
Integer overflow or underflow | 0.929443 | 0.694458 | 0.769565 | 0.730085 | 1840 | 2039 | 0.774453 | 0.123967 | 0.695722 | 2.367174 | 2.341613 | 2.425271 | 2.203210
Timestamp dependence | 0.984568 | 0.242105 | 0.841463 | 0.376022 | 82 | 285 | 0.495882 | 0.587139 | 0.644448 | 1.152011 | 1.194932 | 1.138299 | 1.608842
DoS with failed call | 0.987937 | 0.237209 | 0.772727 | 0.362989 | 66 | 215 | 1.114940 | 0.731106 | 0.457751 | 1.491254 | 1.462221 | 1.500282 | 1.253140
Assert violation | 0.976077 | 0.176179 | 0.755319 | 0.285714 | 94 | 403 | 0.930012 | 0.001500 | 0.648286 | 2.689339 | 2.608109 | 2.706711 | 2.950614
Unchecked call return value | 0.969877 | 0.705882 | 0.680162 | 0.692784 | 741 | 714 | 0.704789 | 0.396503 | 0.193674 | 0.849776 | 1.021909 | 0.436658 | 0.439881
Unsafe send | 0.996765 | 0.912088 | 0.674797 | 0.775701 | 123 | 91 | 1.021739 | 0.741720 | 0.013128 | 0.446285 | 0.459195 | 0.312345 | 0.536916
Multiplication after division | 0.989892 | 0.642458 | 0.572139 | 0.605263 | 201 | 179 | 0.780856 | 0.001870 | 0.752882 | 2.674243 | 2.680635 | 2.662757 | 2.208176
Extra gas consumption | 0.973987 | 0.679775 | 0.628028 | 0.652878 | 578 | 534 | 0.468491 | 0.376114 | 0.671873 | 1.482312 | 1.445696 | 1.560040 | 1.392601
