Behavior contribution summary

experiment_name: train_bjut_side_scale_200
split: test
checkpoint_epoch: 30
evaluated_samples: 14839
threshold_source: validation_selected_per_label

Primary table: predicted-positive, attention-weighted behavior means
label | accuracy | precision | recall | f1 | support | predicted | risk_mean | protective_mean | missing_check_mean | final_evidence_mean | tp_final | fp_final | fn_final
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reentrancy | 0.967653 | 0.222414 | 0.816456 | 0.349593 | 158 | 580 | 0.671897 | 0.530866 | 0.191859 | 0.665780 | 0.685732 | 0.660074 | 0.705953
Contract contains unknown address | 0.948986 | 0.797086 | 0.806740 | 0.801884 | 1899 | 1922 | 0.706522 | 0.329860 | 0.441714 | 1.636752 | 1.620735 | 1.699670 | 1.725593
Integer overflow or underflow | 0.929106 | 0.696411 | 0.759239 | 0.726469 | 1840 | 2006 | 0.838684 | 0.131584 | 0.705630 | 2.825459 | 2.790785 | 2.904999 | 2.644351
Timestamp dependence | 0.983961 | 0.229167 | 0.804878 | 0.356757 | 82 | 288 | 0.509814 | 0.563849 | 0.618846 | 1.129625 | 1.150907 | 1.123297 | 1.739585
DoS with failed call | 0.988476 | 0.233503 | 0.696970 | 0.349810 | 66 | 197 | 1.238008 | 0.766116 | 0.458860 | 1.861505 | 1.821880 | 1.873576 | 1.774228
Assert violation | 0.980524 | 0.203647 | 0.712766 | 0.316785 | 94 | 329 | 0.951031 | 0.001585 | 0.621879 | 3.142650 | 3.056629 | 3.164648 | 3.493806
Unchecked call return value | 0.972774 | 0.759630 | 0.665317 | 0.709353 | 741 | 649 | 0.838266 | 0.443826 | 0.219221 | 1.227323 | 1.382103 | 0.738179 | 0.710159
Unsafe send | 0.996361 | 0.863158 | 0.666667 | 0.752294 | 123 | 95 | 1.118976 | 0.725487 | 0.020560 | 0.828096 | 0.846336 | 0.713050 | 0.820559
Multiplication after division | 0.989824 | 0.631579 | 0.597015 | 0.613811 | 201 | 190 | 0.817622 | 0.001408 | 0.732754 | 3.097937 | 3.161202 | 2.989484 | 2.779923
Extra gas consumption | 0.974190 | 0.673797 | 0.653979 | 0.663740 | 578 | 561 | 0.484621 | 0.406078 | 0.670324 | 1.497735 | 1.502368 | 1.488164 | 1.379538
