model,label,precision,recall,f1,support,tp,fp,fn,ap,auc
incremental_final,Reentrancy,0.8047244094488188,0.897278314310799,0.8484848484848485,1139,1022,248,117,0.8690421323340476,0.8948061338644983
incremental_final,Access Control,0.8528624933119315,0.9482450922070196,0.8980281690140844,1681,1594,275,87,0.9243877759605753,0.8337859624619576
incremental_final,Arithmetic,0.7486033519553073,0.8472075869336143,0.7948591201186358,949,804,270,145,0.8105605898847887,0.8775050963631171
incremental_final,Unchecked Return Values,0.8055105348460292,0.8554216867469879,0.8297161936560934,581,497,120,84,0.8644558209505736,0.950307456043475
incremental_final,DoS,0.6347438752783965,0.7620320855614974,0.6925880923450791,374,285,164,89,0.671950494923823,0.9114863951350993
incremental_final,Bad Randomness,0.2564102564102564,0.2777777777777778,0.26666666666666666,72,20,58,52,0.200052061655113,0.8665998251838141
incremental_final,Front Running,0.2028985507246377,0.28,0.23529411764705885,50,14,55,36,0.15324868047118748,0.876060467246908
incremental_final,Time manipulation,0.7912912912912913,0.8247261345852895,0.807662835249042,639,527,139,112,0.8572710037657681,0.9302681416815407
joint8_bs128_control,Reentrancy,0.7933177933177933,0.8964003511852502,0.8417147568013191,1139,1021,266,118,0.8928884409211455,0.9014133280259633
joint8_bs128_control,Access Control,0.8405873099108547,0.9535990481856038,0.8935340022296544,1681,1603,304,78,0.9298420113929934,0.8359084697686852
joint8_bs128_control,Arithmetic,0.7146574154379879,0.8682824025289779,0.7840152235965747,949,824,329,125,0.8220348078325149,0.8760857469249481
joint8_bs128_control,Unchecked Return Values,0.8078125,0.8898450946643718,0.8468468468468467,581,517,123,64,0.8610140566284993,0.9507007622326038
joint8_bs128_control,DoS,0.6820512820512821,0.7112299465240641,0.6963350785340314,374,266,124,108,0.7102606468004474,0.9242635192861436
joint8_bs128_control,Bad Randomness,0.5846153846153846,0.5277777777777778,0.5547445255474452,72,38,27,34,0.48767393156515215,0.8944611548151575
joint8_bs128_control,Front Running,0.54,0.54,0.54,50,27,23,23,0.4768935230356606,0.9161245991754466
joint8_bs128_control,Time manipulation,0.7197452229299363,0.8841940532081377,0.7935393258426966,639,565,220,74,0.865320704454074,0.9354680992689722
