bad_delta_vs_baseline,bad_randomness_ap,bad_randomness_f1,bad_randomness_fn,bad_randomness_fp,bad_randomness_tp,checkpoint_tag,detection_f1,eval_dir,front_ap,front_auc,front_contrastive_active_batches_total,front_contrastive_anchor_count_total,front_contrastive_candidate_negative_count_total,front_contrastive_hard_negative_count_total,front_contrastive_loss_mean,front_contrastive_selected_hard_negative_count_total,front_contrastive_selected_prob_max,front_contrastive_selected_prob_mean,front_delta_vs_baseline,front_f1,front_fn,front_fp,front_fp_access_control,front_fp_confounder_any,front_fp_no_confounder,front_fp_reentrancy,front_fp_time_manipulation,front_precision,front_recall,front_tp,lambda,macro_delta_vs_baseline,macro_f1,micro_delta_vs_baseline,micro_f1,rare_mean_f1,status,temperature,threshold_mode,valid_front_f1,valid_macro_f1,valid_micro_f1,validation_winner,variant
-0.09816906895208422,0.533148877714012,0.49006622516556286,35,42,37,best_micro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_micro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.08533653846153844,0.453125,21,49,44,47,2,30,13,0.3717948717948718,0.58,29,0.005,-0.02478148484638465,0.720490699498684,-0.0035062443065571047,0.8205795592573312,0.47159561258278143,ok,0.1,fixed_0_5,0.6330935251798561,0.7792377417379064,0.831110728727523,False,front_ctr_mined_lam0005_tau010
-0.09843937575030015,0.533148877714012,0.4897959183673469,36,39,36,best_micro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_micro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.07446153846153841,0.464,21,46,42,44,2,27,12,0.38666666666666666,0.58,29,0.005,-0.025066624272066185,0.7202055600730025,-0.004263604813778188,0.8198221987501101,0.4768979591836735,ok,0.1,best_global,0.6330935251798561,0.7792377417379064,0.831110728727523,False,front_ctr_mined_lam0005_tau010
-0.04136029411764719,0.533148877714012,0.5468749999999999,37,21,35,best_micro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_micro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.08533653846153844,0.453125,21,49,44,47,2,30,13,0.3717948717948718,0.58,29,0.005,-0.01805551774082792,0.7272166666042408,-0.0018101074483845014,0.8222756961155038,0.49999999999999994,ok,0.1,per_label,0.6330935251798561,0.7792377417379064,0.831110728727523,True,front_ctr_mined_lam0005_tau010
-0.09816906895208422,0.533148877714012,0.49006622516556286,35,42,37,best_macro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_macro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.08533653846153844,0.453125,21,49,44,47,2,30,13,0.3717948717948718,0.58,29,0.005,-0.02478148484638465,0.720490699498684,-0.0035062443065571047,0.8205795592573312,0.47159561258278143,ok,0.1,fixed_0_5,0.6330935251798561,0.7792377417379064,0.831110728727523,False,front_ctr_mined_lam0005_tau010
-0.09843937575030015,0.533148877714012,0.4897959183673469,36,39,36,best_macro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_macro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.07446153846153841,0.464,21,46,42,44,2,27,12,0.38666666666666666,0.58,29,0.005,-0.025066624272066185,0.7202055600730025,-0.004263604813778188,0.8198221987501101,0.4768979591836735,ok,0.1,best_global,0.6330935251798561,0.7792377417379064,0.831110728727523,False,front_ctr_mined_lam0005_tau010
-0.04136029411764719,0.533148877714012,0.5468749999999999,37,21,35,best_macro_f1,0.9468982630272953,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0005_tau010/best_macro_f1,0.5505237243744495,0.9098671552908841,660,58971.0,512688.0,84104.0,0.08601595246558043,84104.0,0.99996018409729,0.14880059965759176,-0.08533653846153844,0.453125,21,49,44,47,2,30,13,0.3717948717948718,0.58,29,0.005,-0.01805551774082792,0.7272166666042408,-0.0018101074483845014,0.8222756961155038,0.49999999999999994,ok,0.1,per_label,0.6330935251798561,0.7792377417379064,0.831110728727523,False,front_ctr_mined_lam0005_tau010
-0.07210626185958258,0.573129770140349,0.5161290322580645,32,43,40,best_micro_f1,0.945071482317532,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_micro_f1,0.45073359797585505,0.8704443426477325,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.07944514501891548,0.45901639344262296,22,44,39,42,2,29,14,0.3888888888888889,0.56,28,0.01,-0.021282290055335107,0.7239898942897336,-0.0045402293907153,0.819545574173173,0.48757271285034376,ok,0.1,fixed_0_5,0.6666666666666667,0.7761848223670621,0.82924708746305,False,front_ctr_mined_lam0010_tau010
-0.07868115399025843,0.573129770140349,0.5095541401273886,32,45,40,best_micro_f1,0.945071482317532,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_micro_f1,0.45073359797585505,0.8704443426477325,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.09401709401709402,0.4444444444444444,22,48,43,46,2,31,14,0.3684210526315789,0.56,28,0.01,-0.02380508528203329,0.7214670990630354,-0.00408407031143998,0.8200017332524483,0.47699929228591653,ok,0.1,best_global,0.6666666666666667,0.7761848223670621,0.82924708746305,False,front_ctr_mined_lam0010_tau010
-0.061208267090619994,0.573129770140349,0.5270270270270271,33,37,39,best_micro_f1,0.945071482317532,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_micro_f1,0.45073359797585505,0.8704443426477325,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.04322344322344318,0.49523809523809526,24,29,27,28,1,19,5,0.4727272727272727,0.52,26,0.01,-0.014798754601618058,0.7304734297434506,-0.001343328647500197,0.8227424749163881,0.5111325611325612,ok,0.1,per_label,0.6666666666666667,0.7761848223670621,0.82924708746305,False,front_ctr_mined_lam0010_tau010
-0.09142000749344331,0.5483542881100301,0.49681528662420377,33,46,39,best_macro_f1,0.9475247524752475,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_macro_f1,0.5894157627319379,0.8995877233165369,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.07229612492770388,0.46616541353383456,19,52,48,49,3,33,15,0.37349397590361444,0.62,31,0.01,-0.02304870467530129,0.7222234796697674,-0.00526749755295941,0.8188183060109289,0.4814903500790192,ok,0.1,fixed_0_5,0.6666666666666667,0.7839490567976288,0.828911890058276,False,front_ctr_mined_lam0010_tau010
-0.09490196078431379,0.5483542881100301,0.4933333333333333,35,41,37,best_macro_f1,0.9475247524752475,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_macro_f1,0.5894157627319379,0.8995877233165369,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.07814407814407814,0.4603174603174603,21,47,43,44,3,29,13,0.3815789473684211,0.58,29,0.01,-0.027417328657777018,0.7178548556872917,-0.009766162434501346,0.8143196411293869,0.4768253968253968,ok,0.1,best_global,0.6666666666666667,0.7839490567976288,0.828911890058276,False,front_ctr_mined_lam0010_tau010
-0.09250879839115134,0.5483542881100301,0.49572649572649574,43,16,29,best_macro_f1,0.9475247524752475,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0010_tau010/best_macro_f1,0.5894157627319379,0.8995877233165369,660,58971.0,512688.0,84104.0,0.07943477510671071,84104.0,0.9998581409454346,0.1410694134082984,-0.042886317222600334,0.4955752212389381,22,35,32,33,2,22,10,0.4444444444444444,0.56,28,0.01,-0.020135715180569114,0.7251364691644996,-0.0024114416856757526,0.8216743618782125,0.49565085848271695,ok,0.1,per_label,0.6666666666666667,0.7839490567976288,0.828911890058276,False,front_ctr_mined_lam0010_tau010
-0.07914438502673804,0.5159178878286625,0.509090909090909,30,51,42,best_micro_f1,0.9488943488943489,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_micro_f1,0.49615009101588975,0.8910490151168118,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.047552447552447474,0.49090909090909096,23,33,31,31,2,20,11,0.45,0.54,27,0.02,-0.02136806253242285,0.7239041218126459,-0.004500826716006157,0.8195849768478821,0.5,ok,0.1,fixed_0_5,0.6610169491525425,0.778863360434505,0.83212570929725,False,front_ctr_mined_lam0020_tau010
-0.08516780945507041,0.5159178878286625,0.5030674846625767,31,50,41,best_micro_f1,0.9488943488943489,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_micro_f1,0.49615009101588975,0.8910490151168118,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.04304869442484116,0.4954128440366973,23,32,31,31,1,20,11,0.4576271186440678,0.54,27,0.02,-0.023069291483581833,0.7222028928614869,-0.005382518321406127,0.8187032852424821,0.499240164349637,ok,0.1,best_global,0.6610169491525425,0.778863360434505,0.83212570929725,False,front_ctr_mined_lam0020_tau010
-0.05698529411764708,0.5159178878286625,0.53125,38,22,34,best_micro_f1,0.9488943488943489,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_micro_f1,0.49615009101588975,0.8910490151168118,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.047552447552447474,0.49090909090909096,23,33,31,31,2,20,11,0.45,0.54,27,0.02,-0.01685074298776179,0.7284214413573069,-0.0022501706904629604,0.8218356328734253,0.5110795454545455,ok,0.1,per_label,0.6610169491525425,0.778863360434505,0.83212570929725,False,front_ctr_mined_lam0020_tau010
-0.005558128763316406,0.5859801612952515,0.5826771653543307,35,18,37,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_macro_f1,0.5182444850554857,0.9003114979386165,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.04723346828609981,0.4912280701754386,22,36,33,34,2,23,11,0.4375,0.56,28,0.02,-0.008341411576518909,0.7369307727685498,-0.0023816916520612574,0.821704111911827,0.5369526177648847,ok,0.1,fixed_0_5,0.6268656716417911,0.7818630134415542,0.8314626144016578,False,front_ctr_mined_lam0020_tau010
0.0019286403085824189,0.5859801612952515,0.5901639344262295,36,14,36,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_macro_f1,0.5182444850554857,0.9003114979386165,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.05197505197505198,0.48648648648648646,23,34,32,33,1,23,11,0.4426229508196721,0.54,27,0.02,-0.011020224438774484,0.7342519599062942,-0.00802637660951977,0.8160594269543685,0.538325210456358,ok,0.1,best_global,0.6268656716417911,0.7818630134415542,0.8314626144016578,False,front_ctr_mined_lam0020_tau010
-0.01680672268907568,0.5859801612952515,0.5714285714285714,38,13,34,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_mined_search/front_ctr_mined_lam0020_tau010/best_macro_f1,0.5182444850554857,0.9003114979386165,680,60758.0,528224.0,86642.0,0.06982968369812698,86642.0,0.9999432563781738,0.13231002002858608,-0.05631868131868134,0.4821428571428571,23,35,33,34,1,23,11,0.43548387096774194,0.54,27,0.02,-0.012952639654279063,0.7323195446907896,-0.002586705083592933,0.8214990984802953,0.5267857142857142,ok,0.1,per_label,0.6268656716417911,0.7818630134415542,0.8314626144016578,False,front_ctr_mined_lam0020_tau010
