bad_delta_vs_baseline,bad_randomness_ap,bad_randomness_f1,bad_randomness_fn,bad_randomness_fp,bad_randomness_tp,checkpoint_tag,detection_f1,eval_dir,front_ap,front_auc,front_contrastive_active_batches_total,front_contrastive_anchor_count_total,front_contrastive_hard_negative_count_total,front_contrastive_loss_mean,front_delta_vs_baseline,front_f1,front_fn,front_fp,front_precision,front_recall,front_tp,lambda,macro_delta_vs_baseline,macro_f1,micro_delta_vs_baseline,micro_f1,rare_mean_f1,status,temperature,threshold_mode,valid_front_f1,valid_macro_f1,valid_micro_f1,validation_winner,variant
-0.09142000749344331,0.5297950045011378,0.49681528662420377,33,46,39,best_micro_f1,0.9491106719367589,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_micro_f1,0.5458945388724706,0.8933211177278974,540,48249.0,419472.0,0.10236022134311495,-0.038461538461538436,0.5,18,46,0.41025641025641024,0.64,32,0.02,-0.014810838765308532,0.7304613455797602,-0.0015010252261417056,0.8225847783377466,0.49840764331210186,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam002_tau010
-0.10457516339869294,0.5297950045011378,0.48366013071895414,35,44,37,best_micro_f1,0.9491106719367589,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_micro_f1,0.5458945388724706,0.8933211177278974,540,48249.0,419472.0,0.10236022134311495,-0.026064844246662444,0.512396694214876,19,40,0.43661971830985913,0.62,31,0.02,-0.016325918651201476,0.7289462656938672,-0.0033327235708289216,0.8207530799930594,0.4980284124669151,ok,0.1,best_global,0.0,,,False,front_contrastive_lam002_tau010
-0.06364513018322082,0.5297950045011378,0.5245901639344263,40,18,32,best_micro_f1,0.9491106719367589,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_micro_f1,0.5458945388724706,0.8933211177278974,540,48249.0,419472.0,0.10236022134311495,0.03034580098800288,0.5688073394495413,19,28,0.5254237288135594,0.62,31,0.02,-0.004771427059290234,0.7405007572857785,0.0014758029711696707,0.825561606535058,0.5466987516919838,ok,0.1,per_label,0.0,,,True,front_contrastive_lam002_tau010
-0.03893951946975982,0.5524287664578662,0.5492957746478873,33,31,39,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_macro_f1,0.4988514800542272,0.8971049015116812,540,48249.0,419472.0,0.10236022134311495,-0.05912269548633187,0.47933884297520657,21,42,0.4084507042253521,0.58,29,0.02,-0.020978730054405204,0.7242934542906635,-0.008880619978575144,0.8152051835853131,0.5143173088115469,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam002_tau010
-0.037510656436487655,0.5524287664578662,0.5507246376811594,34,28,38,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_macro_f1,0.4988514800542272,0.8971049015116812,540,48249.0,419472.0,0.10236022134311495,-0.05106658047834517,0.48739495798319327,21,40,0.42028985507246375,0.58,29,0.02,-0.018317336763723935,0.7269548475813448,-0.006824685113866247,0.817261118450022,0.5190597978321764,ok,0.1,best_global,0.0,,,False,front_contrastive_lam002_tau010
-0.05726184279021351,0.5524287664578662,0.5309734513274336,42,11,30,best_macro_f1,0.9492448625897498,results/dive_front_contrastive_search/front_contrastive_lam002_tau010/best_macro_f1,0.4988514800542272,0.8971049015116812,540,48249.0,419472.0,0.10236022134311495,-0.05106658047834517,0.48739495798319327,21,40,0.42028985507246375,0.58,29,0.02,-0.0221174494499371,0.7231547348951316,-0.0062706486681533,0.817815154895735,0.5091842046553134,ok,0.1,per_label,0.0,,,False,front_contrastive_lam002_tau010
-0.040290088638195054,0.5018578870547873,0.547945205479452,32,34,40,best_micro_f1,0.9490351311232063,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_micro_f1,0.4499210430060651,0.8774347228584517,820,73267.0,636976.0,0.06392930291556033,-0.04273504273504275,0.4957264957264957,21,38,0.43283582089552236,0.58,29,0.05,-0.00663151091231684,0.7386406734327519,0.002016065755268026,0.8261018693191563,0.5218358506029739,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam005_tau010
-0.040290088638195054,0.5018578870547873,0.547945205479452,32,34,40,best_micro_f1,0.9490351311232063,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_micro_f1,0.4499210430060651,0.8774347228584517,820,73267.0,636976.0,0.06392930291556033,-0.04273504273504275,0.4957264957264957,21,38,0.43283582089552236,0.58,29,0.05,-0.00663151091231684,0.7386406734327519,0.002016065755268026,0.8261018693191563,0.5218358506029739,ok,0.1,best_global,0.0,,,False,front_contrastive_lam005_tau010
-0.06791009086561461,0.5018578870547873,0.5203252032520325,40,19,32,best_micro_f1,0.9490351311232063,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_micro_f1,0.4499210430060651,0.8774347228584517,820,73267.0,636976.0,0.06392930291556033,-0.08533653846153844,0.453125,21,49,0.3717948717948718,0.58,29,0.05,-0.015149596863836212,0.7301225874812325,0.0022092896144327856,0.8262950931783211,0.48672510162601623,ok,0.1,per_label,0.0,,,False,front_contrastive_lam005_tau010
-0.05490196078431375,0.5479749950646615,0.5333333333333333,36,27,36,best_macro_f1,0.945337620578778,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_macro_f1,0.4904757464274382,0.8644342647732478,820,73267.0,636976.0,0.06392930291556033,-0.07846153846153842,0.46,27,27,0.46,0.46,23,0.05,-0.023656426232605,0.7216157581124637,-0.00825654611613369,0.8158292574477546,0.4966666666666667,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam005_tau010
-0.07394957983193273,0.5479749950646615,0.5142857142857143,36,32,36,best_macro_f1,0.945337620578778,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_macro_f1,0.4904757464274382,0.8644342647732478,820,73267.0,636976.0,0.06392930291556033,-0.08131868131868125,0.4571428571428572,26,31,0.43636363636363634,0.48,24,0.05,-0.022518691347930497,0.7227534929971382,-0.005148638945574269,0.818937164618314,0.48571428571428577,ok,0.1,best_global,0.0,,,False,front_contrastive_lam005_tau010
-0.038235294117647145,0.5479749950646615,0.5499999999999999,39,15,33,best_macro_f1,0.945337620578778,results/dive_front_contrastive_search/front_contrastive_lam005_tau010/best_macro_f1,0.4904757464274382,0.8644342647732478,820,73267.0,636976.0,0.06392930291556033,-0.042886317222600334,0.4955752212389381,22,35,0.4444444444444444,0.56,28,0.05,-0.01321246637874629,0.7320597179663224,-0.0041239252065845555,0.8199618783573037,0.522787610619469,ok,0.1,per_label,0.0,,,False,front_contrastive_lam005_tau010
-0.09440813362381995,0.4839908886799711,0.49382716049382713,32,50,40,best_micro_f1,0.9484126984126984,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_micro_f1,0.4995475629019362,0.8989372423270728,880,78628.0,683584.0,0.055245305956471355,-0.060585432266848205,0.47787610619469023,23,36,0.42857142857142855,0.54,27,0.1,-0.018458161435895848,0.7268140229091729,0.0008425880687825682,0.8249283916326708,0.4858516333442587,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam010_tau010
-0.08823529411764708,0.4839908886799711,0.5,32,48,40,best_micro_f1,0.9484126984126984,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_micro_f1,0.4995475629019362,0.8989372423270728,880,78628.0,683584.0,0.055245305956471355,-0.05631868131868134,0.4821428571428571,23,35,0.43548387096774194,0.54,27,0.1,-0.01820729234864571,0.727064891996423,-0.0002351782336081909,0.8238506253302801,0.49107142857142855,ok,0.1,best_global,0.0,,,False,front_contrastive_lam010_tau010
-0.03861697350696014,0.4839908886799711,0.5496183206106869,36,23,36,best_micro_f1,0.9484126984126984,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_micro_f1,0.4995475629019362,0.8989372423270728,880,78628.0,683584.0,0.055245305956471355,-0.0241758241758242,0.5142857142857142,23,28,0.4909090909090909,0.54,27,0.1,-0.005749154910806853,0.7395230294342618,0.0040661826191860095,0.8281519861830743,0.5319520174482006,ok,0.1,per_label,0.0,,,False,front_contrastive_lam010_tau010
-0.028235294117647025,0.5171128184698291,0.56,37,18,35,best_macro_f1,0.947051442910916,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_macro_f1,0.47364469265095194,0.904168575355016,880,78628.0,683584.0,0.055245305956471355,-0.10512820512820509,0.43333333333333335,24,44,0.37142857142857144,0.52,26,0.1,-0.018830447939021555,0.7264417364060471,-0.006113453333473573,0.8179723502304147,0.4966666666666667,ok,0.1,fixed_0_5,0.0,,,False,front_contrastive_lam010_tau010
-0.028235294117647025,0.5171128184698291,0.56,37,18,35,best_macro_f1,0.947051442910916,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_macro_f1,0.47364469265095194,0.904168575355016,880,78628.0,683584.0,0.055245305956471355,-0.09401709401709396,0.4444444444444445,24,41,0.3880597014925373,0.52,26,0.1,-0.021113287884056753,0.724158896461012,-0.011388536001439076,0.8126972675624492,0.5022222222222222,ok,0.1,best_global,0.0,,,False,front_contrastive_lam010_tau010
-0.028235294117647025,0.5171128184698291,0.56,37,18,35,best_macro_f1,0.947051442910916,results/dive_front_contrastive_search/front_contrastive_lam010_tau010/best_macro_f1,0.47364469265095194,0.904168575355016,880,78628.0,683584.0,0.055245305956471355,-0.06321401370906321,0.4752475247524752,26,27,0.47058823529411764,0.48,24,0.1,-0.01045241104814476,0.7348197732969239,0.004096715056092881,0.8281825186199812,0.5176237623762376,ok,0.1,per_label,0.0,,,False,front_contrastive_lam010_tau010
