DIVE Front conditional contrastive search summary

baseline:
micro_f1=0.824086
macro_f1=0.745272
detection_f1=0.946504
front_f1=0.538462
bad_randomness_f1=0.588235

variant | checkpoint | mode | valid_macro | micro | macro | detection | front_f1 | front_tp | front_fp | front_fn | front_ap | bad_f1 | rare_mean | winner
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
front_contrastive_lam002_tau010 | best_micro_f1 | per_label | 0.000000 | 0.825562 | 0.740501 | 0.949111 | 0.568807 | 31 | 28 | 19 | 0.545895 | 0.524590 | 0.546699 | True
front_contrastive_lam010_tau010 | best_micro_f1 | per_label | 0.000000 | 0.828152 | 0.739523 | 0.948413 | 0.514286 | 27 | 28 | 23 | 0.499548 | 0.549618 | 0.531952 | False
front_contrastive_lam005_tau010 | best_micro_f1 | fixed_0_5 | 0.000000 | 0.826102 | 0.738641 | 0.949035 | 0.495726 | 29 | 38 | 21 | 0.449921 | 0.547945 | 0.521836 | False
front_contrastive_lam005_tau010 | best_micro_f1 | best_global | 0.000000 | 0.826102 | 0.738641 | 0.949035 | 0.495726 | 29 | 38 | 21 | 0.449921 | 0.547945 | 0.521836 | False
front_contrastive_lam010_tau010 | best_macro_f1 | per_label | 0.000000 | 0.828183 | 0.734820 | 0.947051 | 0.475248 | 24 | 27 | 26 | 0.473645 | 0.560000 | 0.517624 | False
front_contrastive_lam005_tau010 | best_macro_f1 | per_label | 0.000000 | 0.819962 | 0.732060 | 0.945338 | 0.495575 | 28 | 35 | 22 | 0.490476 | 0.550000 | 0.522788 | False
front_contrastive_lam002_tau010 | best_micro_f1 | fixed_0_5 | 0.000000 | 0.822585 | 0.730461 | 0.949111 | 0.500000 | 32 | 46 | 18 | 0.545895 | 0.496815 | 0.498408 | False
front_contrastive_lam005_tau010 | best_micro_f1 | per_label | 0.000000 | 0.826295 | 0.730123 | 0.949035 | 0.453125 | 29 | 49 | 21 | 0.449921 | 0.520325 | 0.486725 | False
front_contrastive_lam002_tau010 | best_micro_f1 | best_global | 0.000000 | 0.820753 | 0.728946 | 0.949111 | 0.512397 | 31 | 40 | 19 | 0.545895 | 0.483660 | 0.498028 | False
front_contrastive_lam010_tau010 | best_micro_f1 | best_global | 0.000000 | 0.823851 | 0.727065 | 0.948413 | 0.482143 | 27 | 35 | 23 | 0.499548 | 0.500000 | 0.491071 | False
front_contrastive_lam002_tau010 | best_macro_f1 | best_global | 0.000000 | 0.817261 | 0.726955 | 0.949245 | 0.487395 | 29 | 40 | 21 | 0.498851 | 0.550725 | 0.519060 | False
front_contrastive_lam010_tau010 | best_micro_f1 | fixed_0_5 | 0.000000 | 0.824928 | 0.726814 | 0.948413 | 0.477876 | 27 | 36 | 23 | 0.499548 | 0.493827 | 0.485852 | False
front_contrastive_lam010_tau010 | best_macro_f1 | fixed_0_5 | 0.000000 | 0.817972 | 0.726442 | 0.947051 | 0.433333 | 26 | 44 | 24 | 0.473645 | 0.560000 | 0.496667 | False
front_contrastive_lam002_tau010 | best_macro_f1 | fixed_0_5 | 0.000000 | 0.815205 | 0.724293 | 0.949245 | 0.479339 | 29 | 42 | 21 | 0.498851 | 0.549296 | 0.514317 | False
front_contrastive_lam010_tau010 | best_macro_f1 | best_global | 0.000000 | 0.812697 | 0.724159 | 0.947051 | 0.444444 | 26 | 41 | 24 | 0.473645 | 0.560000 | 0.502222 | False
front_contrastive_lam002_tau010 | best_macro_f1 | per_label | 0.000000 | 0.817815 | 0.723155 | 0.949245 | 0.487395 | 29 | 40 | 21 | 0.498851 | 0.530973 | 0.509184 | False
front_contrastive_lam005_tau010 | best_macro_f1 | best_global | 0.000000 | 0.818937 | 0.722753 | 0.945338 | 0.457143 | 24 | 31 | 26 | 0.490476 | 0.514286 | 0.485714 | False
front_contrastive_lam005_tau010 | best_macro_f1 | fixed_0_5 | 0.000000 | 0.815829 | 0.721616 | 0.945338 | 0.460000 | 23 | 27 | 27 | 0.490476 | 0.533333 | 0.496667 | False
