threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.6808371484630478,0.9541704857928506,0.7946564885496183,0.5912035211108743,0.9005272077621818,0.7092786384400851,7645
0.1,0.7155809736364904,0.9404216315307058,0.8127376425855513,0.6347542563886025,0.8841032359329587,0.7368252392261613,7169
0.15,0.7340856481481481,0.9301558203483044,0.8205708741004286,0.6612013146006664,0.8703417490896819,0.7505585224032679,6912
0.2,0.7462352765767108,0.9175068744271311,0.8230554185166913,0.6752677549867967,0.8594978869513725,0.7554732198109257,6707
0.25,0.7565177618539412,0.9096241979835014,0.8260362909938405,0.6925581542382718,0.8510229741158912,0.7631583322595608,6559
0.3,0.7637071651090342,0.8988084326306142,0.8257684210526316,0.7037418855331883,0.8424445984437456,0.7665380074083977,6420
0.35,0.7728139904610493,0.891109074243813,0.8277564921243082,0.7136587558662657,0.8320901734168116,0.7679473653810579,6290
0.4,0.7801556420233463,0.8821264894592117,0.8280134216639421,0.7210836276393328,0.8238795239164382,0.7685599565906358,6168
0.45,0.7871811858231202,0.8713107241063245,0.8271121552249194,0.7286487430937535,0.8132452041503733,0.7681514808677192,6038
0.5,0.7970154315753774,0.8615948670944088,0.8280479210711769,0.7371590468405204,0.8007798159345063,0.7672797743421477,5897
0.55,0.8034291652234153,0.8504124656278643,0.8262534508860985,0.7495607701848188,0.7918763465574536,0.7697214640397914,5774
0.6,0.8105225737646641,0.8359303391384051,0.8230304124176518,0.7577320822527714,0.7794459950146562,0.7680637257406037,5626
0.65,0.8184490995957369,0.8164986251145738,0.8174726989079563,0.7658302409821269,0.7621294292571512,0.763394625460015,5442
0.7,0.8247481467401635,0.7954170485792851,0.8098170959313176,0.7721361190141095,0.745449482843375,0.7578572603334983,5261
0.75,0.8329709428740858,0.7725022914757104,0.8015978695073236,0.7795402643433242,0.7310212271891832,0.7536202088570361,5059
0.8,0.8405646668050654,0.7422548120989918,0.7883566978193147,0.7885613556551804,0.7069341634366214,0.744361675827587,4817
0.85,0.8508262617239839,0.6984417965169569,0.7671398369072788,0.799933092054909,0.6717610583282162,0.7286903619243588,4478
0.9,0.8591065292096219,0.6416131989000916,0.7345996431944589,0.809699564434715,0.6282622238312003,0.7046492525076196,4074
0.95,0.875257428655487,0.5453712190650779,0.6720126496498757,0.8330201323115531,0.550771483387512,0.6572363188654787,3399
