DIVE graph evidence search summary

baseline:
micro_f1=0.824086
macro_f1=0.745272
detection_f1=0.946504
front_f1=0.538462
bad_randomness_f1=0.588235
dos_f1=0.698795

variant | checkpoint | mode | valid_macro | micro | macro | detection | front_f1 | front_tp | front_fp | front_fn | front_fp_conf | front_fp_none | front_ap | bad_f1 | dos_f1 | rare_mean | winner
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
graph_scale_100 | best_micro_f1 | per_label | 0.781552 | 0.820816 | 0.729808 | 0.945219 | 0.464000 | 29 | 46 | 21 | 43 | 3 | 0.511116 | 0.565217 | 0.686224 | 0.514609 | True
graph_scale_050 | best_macro_f1 | per_label | 0.775083 | 0.825011 | 0.738680 | 0.949480 | 0.517241 | 30 | 36 | 20 | 33 | 3 | 0.524779 | 0.550725 | 0.692015 | 0.533983 | False
graph_scale_050 | best_micro_f1 | per_label | 0.776158 | 0.827314 | 0.737030 | 0.947815 | 0.462687 | 31 | 53 | 19 | 51 | 2 | 0.492713 | 0.585366 | 0.685435 | 0.524026 | False
graph_scale_150 | best_micro_f1 | fixed_0_5 | 0.776025 | 0.823989 | 0.732062 | 0.948071 | 0.473282 | 31 | 50 | 19 | 47 | 3 | 0.473469 | 0.534247 | 0.689567 | 0.503765 | False
graph_scale_050 | best_macro_f1 | fixed_0_5 | 0.775083 | 0.820261 | 0.731860 | 0.949480 | 0.508475 | 30 | 38 | 20 | 35 | 3 | 0.524779 | 0.524138 | 0.692015 | 0.516306 | False
graph_scale_150 | best_micro_f1 | best_global | 0.776025 | 0.822559 | 0.731775 | 0.948071 | 0.473282 | 31 | 50 | 19 | 47 | 3 | 0.473469 | 0.541667 | 0.687259 | 0.507475 | False
graph_scale_050 | best_macro_f1 | best_global | 0.775083 | 0.817996 | 0.731583 | 0.949480 | 0.517241 | 30 | 36 | 20 | 33 | 3 | 0.524779 | 0.527778 | 0.683938 | 0.522510 | False
graph_scale_150 | best_macro_f1 | per_label | 0.780384 | 0.825935 | 0.731402 | 0.951268 | 0.456693 | 29 | 48 | 21 | 45 | 3 | 0.447873 | 0.550000 | 0.691906 | 0.503346 | False
graph_scale_100 | best_macro_f1 | per_label | 0.778426 | 0.824508 | 0.728970 | 0.950949 | 0.446281 | 27 | 44 | 23 | 41 | 3 | 0.509267 | 0.561983 | 0.676316 | 0.504132 | False
graph_scale_050 | best_micro_f1 | fixed_0_5 | 0.776158 | 0.820558 | 0.727756 | 0.947815 | 0.484375 | 31 | 47 | 19 | 45 | 2 | 0.492713 | 0.512821 | 0.690176 | 0.498598 | False
graph_scale_150 | best_micro_f1 | per_label | 0.776025 | 0.825563 | 0.726404 | 0.948071 | 0.461538 | 27 | 40 | 23 | 38 | 2 | 0.473469 | 0.504065 | 0.684896 | 0.482802 | False
graph_scale_050 | best_micro_f1 | best_global | 0.776158 | 0.818603 | 0.725949 | 0.947815 | 0.488189 | 31 | 46 | 19 | 44 | 2 | 0.492713 | 0.503226 | 0.688691 | 0.495707 | False
graph_scale_150 | best_macro_f1 | best_global | 0.780384 | 0.820392 | 0.724941 | 0.951268 | 0.449612 | 29 | 50 | 21 | 47 | 3 | 0.447873 | 0.521127 | 0.693402 | 0.485370 | False
graph_scale_100 | best_micro_f1 | fixed_0_5 | 0.781552 | 0.816794 | 0.722099 | 0.945219 | 0.437956 | 30 | 57 | 20 | 54 | 3 | 0.511116 | 0.545455 | 0.680795 | 0.491705 | False
graph_scale_100 | best_macro_f1 | best_global | 0.778426 | 0.816568 | 0.721790 | 0.950949 | 0.430769 | 28 | 52 | 22 | 49 | 3 | 0.509267 | 0.541667 | 0.682987 | 0.486218 | False
graph_scale_150 | best_macro_f1 | fixed_0_5 | 0.780384 | 0.821422 | 0.721600 | 0.951268 | 0.432836 | 29 | 55 | 21 | 51 | 4 | 0.447873 | 0.510345 | 0.682560 | 0.471590 | False
graph_scale_100 | best_micro_f1 | best_global | 0.781552 | 0.817903 | 0.721433 | 0.945219 | 0.428571 | 30 | 60 | 20 | 57 | 3 | 0.511116 | 0.538462 | 0.683246 | 0.483516 | False
graph_scale_100 | best_macro_f1 | fixed_0_5 | 0.778426 | 0.817838 | 0.716926 | 0.950949 | 0.411765 | 28 | 58 | 22 | 55 | 3 | 0.509267 | 0.523490 | 0.670547 | 0.467627 | False
