DIVE rare-label random negative subsampling search summary

baseline:
micro_f1=0.824086
macro_f1=0.745272
detection_f1=0.946504
front_f1=0.538462
front_tp_fp_fn=28/26/22
bad_randomness_f1=0.588235

variant | checkpoint | mode | valid_macro | micro | macro | detection | front_f1 | front_tp | front_fp | front_fn | front_ap | bad_f1 | bad_ap | rare_mean | front_eff_neg | bad_eff_neg | winner
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
rare_neg_frac0125 | best_micro_f1 | per_label | 0.774579 | 0.821664 | 0.726962 | 0.946713 | 0.436090 | 29 | 54 | 21 | 0.470153 | 0.571429 | 0.577393 | 0.503759 | 1.288 | 1.288 | True
rare_neg_frac025 | best_micro_f1 | per_label | 0.768726 | 0.821737 | 0.738250 | 0.948225 | 0.547170 | 29 | 27 | 21 | 0.507015 | 0.546875 | 0.562236 | 0.547022 | 2.571 | 2.571 | False
rare_neg_frac0125 | best_macro_f1 | per_label | 0.770215 | 0.823297 | 0.738101 | 0.941855 | 0.508475 | 30 | 38 | 20 | 0.523496 | 0.576000 | 0.558083 | 0.542237 | 1.288 | 1.288 | False
rare_neg_ratio003 | best_macro_f1 | per_label | 0.776166 | 0.825523 | 0.734679 | 0.943065 | 0.465517 | 27 | 39 | 23 | 0.475193 | 0.569106 | 0.558354 | 0.517311 | 3.000 | 3.000 | False
rare_neg_frac025 | best_macro_f1 | per_label | 0.778924 | 0.823784 | 0.734396 | 0.946584 | 0.508475 | 30 | 38 | 20 | 0.524328 | 0.542636 | 0.563609 | 0.525555 | 2.571 | 2.571 | False
rare_neg_ratio003 | best_micro_f1 | per_label | 0.770091 | 0.823449 | 0.733695 | 0.948199 | 0.482759 | 28 | 38 | 22 | 0.519835 | 0.569106 | 0.538351 | 0.525932 | 3.000 | 3.000 | False
rare_neg_frac025 | best_macro_f1 | fixed_0_5 | 0.778924 | 0.822902 | 0.732214 | 0.946584 | 0.477612 | 32 | 52 | 18 | 0.524328 | 0.546667 | 0.563609 | 0.512139 | 2.571 | 2.571 | False
rare_neg_ratio005 | best_macro_f1 | per_label | 0.774795 | 0.822114 | 0.732113 | 0.940020 | 0.459016 | 28 | 44 | 22 | 0.506259 | 0.571429 | 0.547132 | 0.515222 | 5.000 | 5.000 | False
rare_neg_ratio005 | best_macro_f1 | best_global | 0.774795 | 0.814861 | 0.730118 | 0.940020 | 0.459016 | 28 | 44 | 22 | 0.506259 | 0.585714 | 0.547132 | 0.522365 | 5.000 | 5.000 | False
