name,precision,recall,f1,support,predicted_positive_count
Normal,0.9998072489927486,0.9981540951814578,0.9989799881605769,3736379,3730201
ExternalCall,0.9680243623905596,0.9968639749117993,0.9822325222093472,7653,7881
StateRead,0.9941503299953246,0.9989620662529499,0.9965503899203809,91528,91971
StateWrite,0.9876329001772003,0.9980228307095427,0.9928006828218354,26806,27088
AuthSource,0.9432868943410184,0.9961807213228593,0.9690125385232407,23041,24333
ControlGuard,0.9978141081105697,0.9992047997035812,0.9985089696795353,350855,351344
ReturnCheck,0.9941148849585225,0.9994649713602316,0.996782749258463,31774,31945
EnvDependency,0.742923742923743,0.9772229522558038,0.8441165342413924,4566,6006
Arithmetic,0.9973654115156326,0.999065079906082,0.9982145222014113,422496,423216
AddressLiteral,0.9990633731267462,0.999888782967906,0.9994759076326906,62940,62992
CreateContract,0.8703296703296703,0.9496402877697842,0.9082568807339451,417,455
Destructive,0.8787878787878788,0.9405405405405406,0.9086161879895562,185,198
RevertOrAssert,0.9972372008482278,0.9995384708811562,0.9983865097658619,82335,82525
GasOrValue,0.9887804761105651,0.9965930507901223,0.9926713919541752,41386,41713
HashOrCrypto,0.9962767536946938,0.9991981856085771,0.9977353311220405,43651,43779
StorageOrMemoryHeavy,0.9979370774349854,0.9991868356584572,0.9985615655104899,291454,291819
