name,precision,recall,f1,support,predicted_positive_count
Reentrancy,0.65,0.020456333595594022,0.03966437833714721,1271,40
Contract contains unknown address,0.7535714285714286,0.3284046692607004,0.4574525745257453,1285,560
Integer overflow or underflow,0.5286259541984732,0.3219058686809994,0.4001444564824846,1721,1048
Timestamp dependence,0.2222222222222222,0.5,0.30769230769230765,16,36
DoS with failed call,0.25,0.35294117647058826,0.2926829268292683,17,24
Assert violation,0.2,0.3125,0.24390243902439027,48,75
Unchecked call return value,0.6503496503496503,0.2852760736196319,0.39658848614072495,326,143
Unsafe send,1.0,0.11538461538461539,0.20689655172413793,78,9
Multiplication after division,0.33636363636363636,0.12982456140350876,0.1873417721518987,285,110
Extra gas consumption,0.6304347826086957,0.03656998738965952,0.06912991656734206,793,46
Access Control,0.8349358974358975,0.20367474589523066,0.3274670018856065,2558,624
Arithmetic,0.7352342158859471,0.21411625148279953,0.33164905833716124,1686,491
Unchecked Return Values,0.625,0.07309941520467836,0.13089005235602094,342,40
DoS,0.5797101449275363,0.1941747572815534,0.2909090909090909,206,69
Bad Randomness,0.3333333333333333,0.18181818181818182,0.23529411764705885,66,36
Front Running,0.2857142857142857,0.03636363636363636,0.06451612903225805,55,7
Time manipulation,0.7296296296296296,0.2565104166666667,0.3795761078998073,768,270
