name,precision,recall,f1,support,predicted_positive_count
Reentrancy,1.0,0.0018130539887187753,0.0036195455459481205,9928,18
Contract contains unknown address,1.0,0.27613806903451726,0.4327714621716974,7996,2208
Integer overflow or underflow,1.0,0.29797377830750893,0.4591368227731864,10068,3000
Timestamp dependence,1.0,0.24203713166411173,0.3897421832144816,5871,1421
DoS with failed call,1.0,0.048118617988529865,0.09181903109568931,7149,344
Assert violation,1.0,0.37778002426202995,0.548389463643701,9892,3737
Unchecked call return value,1.0,0.11272350349831563,0.20260829063809968,3859,435
Unsafe send,1.0,0.00571828684794025,0.011371547922951962,8569,49
Multiplication after division,1.0,0.3206767656895534,0.4856249068970654,10166,3260
Extra gas consumption,1.0,0.010355029585798817,0.020497803806734993,10140,105
Access Control,1.0,0.3761904761904762,0.5467128027681661,3360,1264
Arithmetic,1.0,0.29924585218702865,0.460645460877641,3315,992
Unchecked Return Values,0.98,0.05511811023622047,0.10436634717784878,889,50
DoS,1.0,0.3700787401574803,0.5402298850574713,889,329
Bad Randomness,1.0,0.22741273100616016,0.370556252613969,1948,443
Front Running,1.0,0.377326565143824,0.547911547911548,1773,669
Time manipulation,1.0,0.19404517453798767,0.3250214961306965,1948,378
