name,precision,recall,f1,support,predicted_positive_count
Normal,0.9952528144028897,0.9765969220854728,0.985836615495577,142759,140083
ExternalCall,0.5343035343035343,0.9553903345724907,0.6853333333333333,269,481
StateRead,0.94874715261959,0.9779864983856765,0.9631449631449631,3407,3512
StateWrite,0.7528005974607916,0.9645933014354067,0.8456375838926175,1045,1339
AuthSource,0.9216646266829865,0.9138349514563107,0.9177330895795246,824,817
ControlGuard,0.9629803553259764,0.9657770800627944,0.9643766900497707,12740,12777
ReturnCheck,0.6428571428571429,0.980819529206626,0.7766655160510875,1147,1750
EnvDependency,0.46534653465346537,0.8294117647058824,0.5961945031712473,170,303
Arithmetic,0.9265845294042931,0.978341044726078,0.9517596790501973,14913,15746
AddressLiteral,0.9917570498915401,0.9982532751091703,0.9949945593035909,2290,2305
CreateContract,0.0,0.0,0.0,11,0
Destructive,0.0,0.0,0.0,5,0
RevertOrAssert,0.9570642201834862,0.9800826756858324,0.9684366877088749,2661,2725
GasOrValue,0.9280948851000741,0.9513677811550152,0.9395872420262664,1316,1349
HashOrCrypto,0.946229913473424,0.9935107073329007,0.9692940804051916,1541,1618
StorageOrMemoryHeavy,0.9539290358536132,0.9806168242146472,0.9670888459908658,10473,10766
