name,precision,recall,f1,support,predicted_positive_count
Reentrancy,0.0,0.0,0.0,353,0
Contract contains unknown address,1.0,0.014354066985645933,0.02830188679245283,209,3
Integer overflow or underflow,1.0,0.19421487603305784,0.32525951557093424,242,47
Timestamp dependence,1.0,0.00684931506849315,0.013605442176870748,146,1
DoS with failed call,1.0,0.00558659217877095,0.011111111111111112,179,1
Assert violation,1.0,0.25416666666666665,0.4053156146179402,240,61
Unchecked call return value,1.0,0.039603960396039604,0.07619047619047618,101,4
Unsafe send,0.0,0.0,0.0,217,0
Multiplication after division,1.0,0.012145748987854251,0.024,247,3
Extra gas consumption,0.0,0.0,0.0,246,0
Access Control,1.0,0.1394422310756972,0.24475524475524477,251,35
Arithmetic,1.0,0.20883534136546184,0.34551495016611294,249,52
Unchecked Return Values,1.0,0.06060606060606061,0.1142857142857143,66,4
DoS,1.0,0.4090909090909091,0.5806451612903226,66,27
Bad Randomness,1.0,0.028368794326241134,0.05517241379310345,141,4
Front Running,1.0,0.3387096774193548,0.5060240963855421,124,42
Time manipulation,0.0,0.0,0.0,141,0
