threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.38507651049061364,0.8799567411679885,0.5357182047624273,0.2896076192821598,0.8177039047736061,0.4180008215489937,12678
0.1,0.4274054593271062,0.8494953136265321,0.5686877828054299,0.32574247445951887,0.7849813255657575,0.44771765302076927,11027
0.15,0.4560260586319218,0.832732516222062,0.5893232986797627,0.35214912023745737,0.7726207040174189,0.46799516787991313,10131
0.2,0.4775883838383838,0.8181326604181687,0.6031092213659314,0.37093574403894747,0.7642341770461977,0.48106478210735293,9504
0.25,0.4952254052853653,0.8038932948810382,0.6128899271677889,0.3873108320677944,0.7546095804157326,0.4908523874939707,9006
0.3,0.5131763059701493,0.7932588320115357,0.623194562446899,0.4036132808755083,0.7490718689566067,0.5005345136091552,8576
0.35,0.5295268370216408,0.7806416726748377,0.6310191593210461,0.4194248752051111,0.741299454438324,0.5089206507805372,8179
0.4,0.5447799385875128,0.7674837779379957,0.6372343609697696,0.43184152142372784,0.7308496416923072,0.5138160399448767,7816
0.45,0.5622479161064803,0.7537851478010094,0.6440782381025721,0.4478454008916148,0.7223284843083974,0.5204239940671981,7438
0.5,0.5735622557230597,0.7406272530641672,0.6464757709251102,0.45885383814793146,0.7155199151986112,0.5239851100309961,7164
0.55,0.5882352941176471,0.7299927901946648,0.6514919971044801,0.47342549895436176,0.7069750940123931,0.5288193112042702,6885
0.6,0.6003616636528029,0.7180966113914924,0.6539724228496387,0.4857111723545362,0.6993636165507947,0.5320892545766542,6636
0.65,0.6106306022959584,0.6998918529199711,0.6522213823801125,0.4945687886802581,0.6816418957237178,0.5307298639810349,6359
0.7,0.6239921013658055,0.6834895457822638,0.6523870967741935,0.5062271792583731,0.6727745658614154,0.5318457936062166,6077
0.75,0.6320576626051141,0.6638428262436914,0.6475604395604395,0.515182797223606,0.6634439933225258,0.531124998936404,5827
0.8,0.6462634752420976,0.6375270367700072,0.6418655294437892,0.5298775485469546,0.6395878697174074,0.5287707842590856,5473
0.85,0.6962836394703118,0.5875991348233598,0.6373411534701857,0.5478094962455712,0.5182697309645425,0.5084385305778794,4682
0.9,0.7937775330396476,0.5196467195385724,0.6281045751633987,0.5620123833864719,0.36183177963125135,0.43417132685863635,3632
0.95,0.8656994047619048,0.41943042537851477,0.565080135988344,0.541626827884991,0.2840179889238509,0.3662790132624927,2688
