threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.23108437483794014,0.931827687160184,0.3703303552877623,0.1836785162334182,0.7909373767424379,0.2946874206226853,19283
0.1,0.3250412108496928,0.9071518193224593,0.47859664607237423,0.2337240239909532,0.7579467039895373,0.35287088013604667,13346
0.15,0.3589569353605708,0.8837306566290255,0.5105406221685291,0.261365817394284,0.7339516865858815,0.37939365190449115,11773
0.2,0.3863169684524921,0.8655374320368047,0.5342023748064018,0.2821205922234503,0.7165592423238628,0.3962626016300111,10714
0.25,0.41226280350948785,0.8450439146800501,0.5541689522764675,0.30744854620807816,0.702157066247909,0.4152223221457138,9802
0.3,0.43445155594791435,0.8232956921790046,0.568766252528171,0.3261143390535398,0.6848616794228275,0.4261149145579178,9062
0.35,0.4588910133843212,0.8030112923462986,0.5840304182509506,0.3486141232183446,0.6734990783314043,0.43971797792621087,8368
0.4,0.4759235668789809,0.7812630698452531,0.591513616212793,0.3659596871911325,0.6632392675271139,0.4487391289148991,7850
0.45,0.492091388400703,0.7611877875365956,0.5977502257985056,0.38678491662332554,0.6528101075907996,0.45774956764665475,7397
0.5,0.5172969803576664,0.7379757423672104,0.6082385384350224,0.41065132094206547,0.6385886083235066,0.46613919953252003,6822
0.55,0.5414680648236415,0.71267252195734,0.6153846153846153,0.4266883947660641,0.6115299129722146,0.46590980541590393,6294
0.6,0.5585386576040782,0.6873693015474697,0.6162932408362238,0.4432288658089162,0.5950202504212448,0.4671255612897949,5885
0.65,0.5768459434822243,0.6616478460895023,0.6163436252069738,0.4608803974950401,0.5795236789202666,0.46854533991988523,5485
0.7,0.5906902086677368,0.615641990798829,0.6029080483309442,0.4712296889062384,0.5520210407377837,0.45972426939875144,4984
0.75,0.6134249003101462,0.5790464240903388,0.5957401032702238,0.4913334644758113,0.5290026449274493,0.4557984218841127,4514
0.8,0.6292448048656868,0.5192388122124634,0.5689734188817599,0.5221486415628359,0.502047725433319,0.4490138439173691,3946
0.85,0.671665603063178,0.44019238812212463,0.5318342597271349,0.5387278028317235,0.4075328807130867,0.40962403838014216,3134
0.9,0.787,0.32915098285236305,0.46416986139781785,0.5951238427098834,0.21428124394725961,0.29707232942517925,2000
0.95,0.8428927680798005,0.2120451693851945,0.33884711779448623,0.7211465576116887,0.12287329959749202,0.19502131137442397,1203
