threshold,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,predicted_positive_total
0.05,0.12867958724312314,0.9205353408615642,0.2257956964427688,0.16632146027064773,0.7661016782401264,0.2636490845344325,34209
0.1,0.14904582810976458,0.8950230029276454,0.25553764403845003,0.21279945571145795,0.7410696610592847,0.31405804321094744,28716
0.15,0.15338842975206612,0.8732747804265998,0.2609429187365264,0.23662970682829587,0.7230984095028694,0.33585368808494637,27225
0.2,0.15481028523681112,0.8523630280217482,0.26202950724824015,0.2537258331094535,0.7031933148907334,0.3482125733854229,26329
0.25,0.15557205957080875,0.8322877457130907,0.262143915692409,0.2730455585750012,0.6903153853759266,0.36195764427819876,25583
0.3,0.17863677950594695,0.8166039314094521,0.2931461601981833,0.31562698112532617,0.6782375425795885,0.40341767395748834,21860
0.35,0.17999340338312209,0.7988289418653283,0.2937896558354163,0.33316161818341505,0.6682893165774455,0.4134248061275632,21223
0.4,0.18011645252875222,0.7827268925135926,0.2928451277236631,0.3491257242887663,0.6545820615469538,0.42198052671213154,20781
0.45,0.17994390591940165,0.7647427854454203,0.2913363871738697,0.36420788432190476,0.6409992260025706,0.42866386253060573,20323
0.5,0.17899303803854302,0.7419489753241322,0.28840838887985687,0.38439587551557386,0.6292586569801519,0.4370264262837031,19822
0.55,0.17583719732096859,0.7137181095775826,0.28215939153439157,0.39198088843455203,0.6084888546861833,0.4332968280240558,19410
0.6,0.17184374012846163,0.6825595984943539,0.2745625841184388,0.41106227048511795,0.5948332209838267,0.4366355652461677,18994
0.65,0.16897015326700726,0.6570472605604349,0.26881122470804636,0.425402877776076,0.5822691492129801,0.43814134414771766,18595
0.7,0.16514166023591667,0.6265161020493517,0.26138544756586984,0.44302216181936166,0.5592635019059615,0.4344217325027451,18142
0.75,0.15815030207215855,0.5857381848598913,0.24905526163695374,0.45586641361664776,0.5377394991844346,0.42849252958241946,17711
0.8,0.14755147144352682,0.5305311585110832,0.23088824171823807,0.4784787340660638,0.5116903741462204,0.4206963061593389,17194
0.85,0.1266596023187683,0.424926808866583,0.1951500600240096,0.4932454638280658,0.32074761450984013,0.3687607669155762,16043
0.9,0.789553752535497,0.32559598494353825,0.4610601125259105,0.6215665869079816,0.2175234126025189,0.3064068715539031,1972
0.95,0.847233691164327,0.21455457967377667,0.3423994660437177,0.6060312371084866,0.13377269721515836,0.2123057685194787,1211
