Recognition pos_weight report

source_file: data/processed/BJUT_SC01/train_mlsmote.jsonl
total_samples: 107904
mode: sqrt_ratio
max_pos_weight: 5.0

label_name | positive_count | negative_count | raw_ratio | sqrt_ratio | final_pos_weight
Reentrancy | 4281 | 103623 | 24.205326 | 4.919891 | 4.919891
Contract contains unknown address | 17888 | 90016 | 5.032200 | 2.243257 | 2.243257
Integer overflow or underflow | 15860 | 92044 | 5.803531 | 2.409052 | 2.409052
Timestamp dependence | 1773 | 106131 | 59.859560 | 7.736896 | 5.000000
DoS with failed call | 2225 | 105679 | 47.496180 | 6.891747 | 5.000000
Assert violation | 1792 | 106112 | 59.214286 | 7.695082 | 5.000000
Unchecked call return value | 7222 | 100682 | 13.941014 | 3.733767 | 3.733767
Unsafe send | 1394 | 106510 | 76.406026 | 8.741054 | 5.000000
Multiplication after division | 1591 | 106313 | 66.821496 | 8.174442 | 5.000000
Extra gas consumption | 4458 | 103446 | 23.204576 | 4.817113 | 4.817113
